"dataset"	"p"	"q"	"gamma"	"beta"	"beta_corrected"	"R0"	"R0_corrected"	"gamma_bayes_mean"	"gamma_bayes_median"	"beta_bayes_mean"	"beta_bayes_median"	"R0_bayes_mean"	"R0_bayes_median"
3	0.8	0.6	0.0536361925673042	0.176858766353666	0.1847908082843	3.2973773470542	3.84763884755597	0.0536361925673042	0.0536361925673042	0.195701975696247	0.192475502517719	3.64869254003581	3.58853776349236
3	0.8	0.8	0.0550616798468898	0.173566834713607	0.19847444880536	3.15222556224664	3.76403234357866	0.0550616798468898	0.0550616798468898	0.189808738654785	0.186049157285372	3.44720210466857	3.37892265188275
3	0.8	1	0.0586208537320178	0.179814376165485	0.203039680826033	3.06741312549793	3.6554439430757	0.0586208537320178	0.0586208537320178	0.174695431786834	0.171588695619577	2.98009020109883	2.92709308540585
3	1	0	0.0545160289209538	0.177666065465719	0.186323691499635	3.25896931567279	3.86351227000295	0.0550685512209729	0.0533393284833838	0.19468042211529	0.189750269892193	3.82806488850973	3.51535067609259
3	1	0.2	0.0545160289209538	0.177666065465719	0.191416975928925	3.25896931567279	3.92053541801663	0.0545639804127521	0.053317321121836	0.187454910461415	0.182918152741439	3.71173086123903	3.37228644691267
3	1	0.4	0.0545160289209538	0.177666065465719	0.185098356954058	3.25896931567279	3.79947195396967	0.0546712491808528	0.054176007380507	0.191575044246847	0.190126540569595	3.77179367079124	3.4698788956887
3	1	0.6	0.0545160289209538	0.177666065465719	0.188005778408907	3.25896931567279	3.88219853605036	0.0531722009689365	0.0520022078500199	0.190232828965786	0.184760432754389	3.92800973867209	3.5451592778442
3	1	0.8	0.0545160289209538	0.177666065465719	0.180558963520293	3.25896931567279	3.84688109484062	0.0547294445055354	0.0538885391021159	0.196942133308394	0.192198332908596	3.89484658393277	3.55572535340889
3	1	1	0.0545160289209538	0.177666065465719	0.188880247339671	3.25896931567279	3.79252953933633	0.0543001889910022	0.0532478486633782	0.19304697433664	0.185723132904607	3.86867538228094	3.60993786128712
4	0.4	0	0.0588400853757588	0.238653482864359	0.197285517130202	4.05596765096947	4.85556884315998	0.0588400853757588	0.0588400853757588	0.229766715764423	0.226532335904792	3.90493511858641	3.84996613207023
4	0.4	0.2	0.0553488151195493	0.185251209397586	0.164829392871216	3.34697696775363	3.78871428930602	0.0553488151195493	0.0553488151195493	0.226506140912239	0.21739324428992	4.0923394732661	3.9276946366488
4	0.4	0.4	0.05477994706198	0.191450934935248	0.193799934380681	3.49490908997471	4.29289046949723	0.05477994706198	0.05477994706198	0.206650312217019	0.200542767109588	3.77237152097295	3.66087916957434
4	0.4	0.6	0.0559125929567493	0.156917820567121	0.141760175442795	2.80648441199112	3.07284637700784	0.0559125929567493	0.0559125929567493	0.205342471835785	0.202379202680557	3.67256213630847	3.61956389389965
4	0.4	0.8	0.0558793289932352	0.160953504038681	0.16645756202541	2.88037646368599	3.46650392140404	0.0558793289932352	0.0558793289932352	0.189420665018558	0.181843705887089	3.3898163852592	3.25422135811801
4	0.4	1	0.0581331902645781	0.154433595403884	0.173044528550073	2.65654774322586	3.14675708920114	0.0581331902645781	0.0581331902645781	0.236177997754338	0.225349741474746	4.06270491399895	3.87643857921998
4	0.6	0	0.051903222891706	0.188893527255693	0.18115071943196	3.63934100296262	4.31370711860268	0.051903222891706	0.051903222891706	0.208224302438927	0.202803887278109	4.01177982479776	3.90734671142198
4	0.6	0.2	0.0573364220759107	0.231938359286918	0.228035019798708	4.0452185694434	5.05447089929154	0.0573364220759107	0.0573364220759107	0.208312360506998	0.205678838765193	3.63315939441081	3.5872283501207
4	0.6	0.4	0.0557643095951081	0.2080973614007	0.192994812940833	3.73173025742895	4.81629033786731	0.0557643095951081	0.0557643095951081	0.217211338309738	0.210323366152225	3.89516771366596	3.77164834782919
4	0.6	0.6	0.0553466224352588	0.18141262032876	0.188543169036235	3.27775413108479	3.89420825010235	0.0553466224352588	0.0553466224352588	0.213926277195734	0.213083744016957	3.86520925366262	3.8499864064191
4	0.6	0.8	0.0532443792935964	0.172484686405748	0.194637728427638	3.23949097903171	4.03586222219379	0.0532443792935964	0.0532443792935964	0.20125297458595	0.198207035710084	3.7797975533946	3.72259078497554
4	0.6	1	0.0535680412059197	0.185154517929382	0.215926798944202	3.45643622132148	4.53605709104209	0.0535680412059197	0.0535680412059197	0.183782137964731	0.177601676803688	3.4308168420469	3.3154409383941
4	0.8	0	0.052022537423223	0.207217640544231	0.22653232115613	3.98322824698913	5.09017247672014	0.052022537423223	0.052022537423223	0.19915728642496	0.191899171652851	3.82828858970759	3.6887699285346
4	0.8	0.2	0.0538928957693091	0.179978294718998	0.165641168959859	3.33955509626729	3.87637067949122	0.0538928957693091	0.0538928957693091	0.190930023164589	0.183430348951185	3.54276793701852	3.40360907189636
4	0.8	0.4	0.0542282172673002	0.180270766436293	0.178671930476897	3.32429822554755	3.90814663122261	0.0542282172673002	0.0542282172673002	0.194579786554379	0.189279357844716	3.58816491413062	3.4904219128526
4	0.8	0.6	0.0547757817408777	0.186930106680138	0.193917046623283	3.41264151307652	3.9828517131458	0.0547757817408777	0.0547757817408777	0.190759907593762	0.185362987161973	3.48255929045743	3.3840317978272
4	0.8	0.8	0.0539135295164814	0.177231724651939	0.191995712027199	3.28733299862624	3.99356128861654	0.0539135295164814	0.0539135295164814	0.199178516698843	0.194953991862197	3.69440692318157	3.61604950762127
4	0.8	1	0.0545983538585814	0.167776000336183	0.172087097095699	3.07291316457544	3.64562938746675	0.0545983538585814	0.0545983538585814	0.217143368919504	0.211824303068796	3.97710468491304	3.8796829592602
4	1	0	0.054024137552226	0.179192967612069	0.1808298989908	3.31690565978662	4.00678908620496	0.0542710042775173	0.0531432451881242	0.193222812515753	0.189070382627825	3.87032217727391	3.51187650388908
4	1	0.2	0.054024137552226	0.179192967612069	0.185192104057846	3.31690565978662	3.88611688428601	0.0543484402768796	0.0529523012547109	0.195777341627985	0.192527368323351	3.85566482863652	3.62967776121732
4	1	0.4	0.054024137552226	0.179192967612069	0.188184337853018	3.31690565978662	4.01512777127988	0.0530863053904966	0.0520922876158701	0.196413156849531	0.194907164779804	3.97812197924412	3.67011621489398
4	1	0.6	0.054024137552226	0.179192967612069	0.191561450065481	3.31690565978662	4.03135791233748	0.053415780245266	0.0523955513144649	0.197711021409499	0.195814772300419	3.99349456223519	3.65119357199223
4	1	0.8	0.054024137552226	0.179192967612069	0.189160219228007	3.31690565978662	4.0565938334217	0.0541384579043542	0.0532904045230668	0.196411906634706	0.188522713217079	3.88524146508941	3.69581199427901
4	1	1	0.054024137552226	0.179192967612069	0.193099368259254	3.31690565978662	3.90685305693245	0.0543152607151072	0.0531671299544633	0.19494427667875	0.1879025948237	3.88356310637671	3.55878954594062
5	0.4	0	0.0503231906171178	0.22007041939929	0.1938423205417	4.37314122376873	5.37040492613679	0.0503231906171178	0.0503231906171178	0.211693294657014	0.203337595820562	4.20667473705462	4.04063401638518
5	0.4	0.2	0.0502322747623628	0.191965688221782	0.185422544649091	3.82156072226325	4.73731608600758	0.0502322747623628	0.0502322747623628	0.184726179003831	0.17914777782664	3.67744004980318	3.56638791840797
5	0.4	0.4	0.0510306030233909	0.160956272983307	0.130109486031676	3.1541126980124	3.62384523354822	0.0510306030233909	0.0510306030233909	0.171580924944903	0.167849308299956	3.36231427377519	3.28918919933239
5	0.4	0.6	0.0518405939117494	0.160339058589127	0.170028807669211	3.09292480063171	3.66103182449808	0.0518405939117494	0.0518405939117494	0.205107713424131	0.196303093969491	3.95650778564179	3.7866675351688
5	0.4	0.8	0.0554684385438472	0.15380474126127	0.167212873208533	2.77283344004157	3.17588648217087	0.0554684385438472	0.0554684385438472	0.203285972065038	0.191855996965624	3.66489444090521	3.45883176094751
5	0.4	1	0.0534402798270001	0.159450490323305	0.165835645816895	2.98371361152088	3.8918354045243	0.0534402798270001	0.0534402798270001	0.261450518295891	0.24885414707193	4.89238677533639	4.65667747020665
5	0.6	0	0.0532669014993719	0.211540878326204	0.216625996380899	3.97133815505861	4.9421576130029	0.0532669014993719	0.0532669014993719	0.199027154812944	0.194766276128963	3.73641321741402	3.65642210540929
5	0.6	0.2	0.0553117598346082	0.216231041104089	0.239543143950793	3.90931407264309	5.04024874827114	0.0553117598346082	0.0553117598346082	0.213484749618232	0.206544615931295	3.85966294069451	3.73418991818195
5	0.6	0.4	0.051985819508018	0.185547426393593	0.183884000088872	3.56919306360026	4.45154307676708	0.051985819508018	0.051985819508018	0.187994318624416	0.182633847605273	3.61626151907485	3.51314741853986
5	0.6	0.6	0.0526548009292162	0.171413016910302	0.180033238651123	3.25541097649828	3.83916215921998	0.0526548009292162	0.0526548009292162	0.207006077519654	0.200416779474618	3.93138087822101	3.80623942998167
5	0.6	0.8	0.0544515043362373	0.15856346409698	0.163202560486652	2.91201255190037	3.39302916268873	0.0544515043362373	0.0544515043362373	0.201492597603599	0.19625951187864	3.7004046088311	3.60429916989511
5	0.6	1	0.0544277595685818	0.157208086708027	0.166522643953035	2.88838063433304	3.47483709101572	0.0544277595685818	0.0544277595685818	0.197713421860378	0.191506301567872	3.63258424428161	3.51854096302759
5	0.8	0	0.0492940546911641	0.181866148652947	0.197867593929679	3.68941345548405	4.55711041010983	0.0492940546911641	0.0492940546911641	0.204385615183103	0.198091955656448	4.14625285875983	4.0185770251104
5	0.8	0.2	0.0512477492470022	0.185428308729219	0.197936725147066	3.61827224519653	4.39495186515814	0.0512477492470022	0.0512477492470022	0.18395521542261	0.1799072089268	3.5895276987871	3.51053873721731
5	0.8	0.4	0.0538643166988539	0.193316324613186	0.192620098274052	3.58894972517676	4.49082219471372	0.0538643166988539	0.0538643166988539	0.188341589203192	0.183616368351233	3.49659293472853	3.40886842355767
5	0.8	0.6	0.0532502031342841	0.181563183103805	0.196295586768673	3.40962423459581	4.14403581665865	0.0532502031342841	0.0532502031342841	0.196463303862879	0.18607470854802	3.68943764153248	3.49434739392044
5	0.8	0.8	0.0535960991227835	0.164852407187502	0.172984433897462	3.07582846299768	3.51170080274602	0.0535960991227835	0.0535960991227835	0.18351839367277	0.177832056361994	3.42409982585388	3.31800372177456
5	0.8	1	0.0529087897577387	0.174351096680404	0.187993591451366	3.29531439820739	4.06856014373466	0.0529087897577387	0.0529087897577387	0.222000069020062	0.218893499426328	4.19590147566343	4.13718590859115
5	1	0	0.0533577158054944	0.175616932162716	0.188674655122425	3.29131278413218	3.94392910354786	0.0534305511952514	0.0525095104158054	0.193280416091103	0.185038805072345	3.88700451238842	3.54038466229699
5	1	0.2	0.0533577158054944	0.175616932162716	0.186294097947752	3.29131278413218	4.0125140763438	0.0525858664273024	0.0515067314740327	0.187790066049067	0.183570773726889	3.84013693552986	3.57015321646939
5	1	0.4	0.0533577158054944	0.175616932162716	0.186131240096405	3.29131278413218	3.92292463410685	0.0537019514014003	0.053051790570705	0.185918648919863	0.183393428359606	3.73070706479704	3.42013453823816
5	1	0.6	0.0533577158054944	0.175616932162716	0.189872041627587	3.29131278413218	3.88461468362185	0.0545945191328069	0.0538126134948092	0.187113936475568	0.182410954630175	3.70221424167403	3.32855382021994
5	1	0.8	0.0533577158054944	0.175616932162716	0.18177786434124	3.29131278413218	4.01549354373645	0.0537517408967819	0.0518727674763123	0.188349073933943	0.183731019244954	3.77830873428218	3.54425823071784
5	1	1	0.0533577158054944	0.175616932162716	0.184588548063399	3.29131278413218	3.91785266493766	0.0534395806663203	0.0514048061585242	0.186062955426194	0.178517611969686	3.78648415844072	3.43520493192307
6	0.4	0	0.0570799609329154	0.233269119848098	0.193593082022342	4.08670776986434	4.93503139391906	0.0570799609329154	0.0570799609329154	0.210728342656393	0.201422294444466	3.69180951094302	3.52877421694792
6	0.4	0.2	0.0542304720420664	0.195281110333594	0.15079137330959	3.60094800912143	4.24130720471338	0.0542304720420664	0.0542304720420664	0.233539063367875	0.225692466922503	4.30641767578049	4.1617278704016
6	0.4	0.4	0.0575901126750412	0.187881799669397	0.152745970753192	3.26239680636747	3.93160568200318	0.0575901126750412	0.0575901126750412	0.225434889014726	0.2227691069033	3.91447209500645	3.86818320985584
6	0.4	0.6	0.0560527462401912	0.167654378393524	0.166775625171267	2.9910109609101	3.46936862435017	0.0560527462401912	0.0560527462401912	0.228936358322347	0.219943535739839	4.08430226311007	3.92386725883796
6	0.4	0.8	0.0578271737448091	0.176806698203989	0.187216461992481	3.05750197967889	3.90554216453119	0.0578271737448091	0.0578271737448091	0.209121045128936	0.204243332128154	3.61631101066404	3.53196116810892
6	0.4	1	0.0586245801377605	0.157471050921125	0.140327480461973	2.68609260059666	3.26791725308076	0.0586245801377605	0.0586245801377605	0.179125787676449	0.174272909260263	3.05547241883056	2.97269351611122
6	0.6	0	0.0567280590628843	0.22198410491458	0.218313556354874	3.91312709409828	4.69340211927492	0.0567280590628843	0.0567280590628843	0.200182596344986	0.195083009247094	3.52881095619858	3.43891563486845
6	0.6	0.2	0.0574726689449115	0.224954628138426	0.213702961831791	3.91411487004455	4.96060503166363	0.0574726689449115	0.0574726689449115	0.209606806551178	0.20455725333174	3.6470693009244	3.55920922217501
6	0.6	0.4	0.0583704927201874	0.183555139483605	0.166764448233925	3.14465633112811	3.60093742454597	0.0583704927201874	0.0583704927201874	0.189902109343181	0.18245702833226	3.2533922619691	3.12584355261331
6	0.6	0.6	0.0554289624010686	0.194968805411521	0.212899175184081	3.5174536373382	4.43403671782487	0.0554289624010686	0.0554289624010686	0.203985974108932	0.200340948529981	3.68013336841751	3.61437306151194
6	0.6	0.8	0.0534817068215175	0.161795528385218	0.173341136122419	3.02524990320843	3.62917207945336	0.0534817068215175	0.0534817068215175	0.207609608425895	0.201040888306741	3.88188075445578	3.75905894285811
6	0.6	1	0.0554895351919623	0.169767406427239	0.19517123849037	3.05944906260145	3.76882502586771	0.0554895351919623	0.0554895351919623	0.210251789962978	0.204832261672427	3.78903498174252	3.69136740763504
6	0.8	0	0.0564730870421679	0.18280150025236	0.18227002295876	3.23696666548198	3.57269811531724	0.0558270252107163	0.0550796355213336	0.20132412943794	0.197471046221634	3.87914069573881	3.56302725874066
6	0.8	0.2	0.0574728020852983	0.178115911773075	0.179838805569465	3.09913394354297	3.5721649826913	0.0574728020852983	0.0574728020852983	0.198176178032249	0.192691875375104	3.44817323745804	3.35274892442377
6	0.8	0.4	0.0569757143526479	0.18090751232926	0.186887963566065	3.17516883087316	3.62259475992349	0.0569757143526479	0.0569757143526479	0.196731447770862	0.190278129662851	3.45290006463463	3.33963569960942
