"beta"	"gamma"	"sample_size"	"not_beta"	"not_gamma"	"not_r0"	"jitter_beta"	"jitter_gamma"	"jitter_r0"
0.5	0.2	189	0.593522835635728	0.214913510362875	2.76168229086009	0.59515985008264	0.21486056228465	2.76998181403884
0.2	0.05	197	0.192408333664993	0.0484333384833998	3.97264239240785	0.192864417532375	0.0484044207529446	3.98443808504087
0.2	0.1	162	0.213065923212253	0.106899038635944	1.99315097620169	0.21365571174218	0.107061261816233	1.99563976846185
0.2	0.2	17	0.234220572164062	0.23677397534597	0.98921586218174	0.240728414956907	0.243359664340992	0.989187816349063
0.3	0.05	200	0.292987757257788	0.0541540394746733	5.41026597646167	0.290190388825218	0.0539874402167846	5.37514628698766
0.3	0.1	188	0.285679182145936	0.097290262088385	2.93635946716236	0.288341273515139	0.0983616760864886	2.93143920465124
0.3	0.2	52	0.278182814807157	0.240958744427378	1.15448316876086	0.290150412939016	0.252120301832731	1.15084112953155
0.4	0.05	200	0.405056425789612	0.047220724032728	8.57793763409628	0.405013503889466	0.0472792413993331	8.56641290981414
0.4	0.1	198	0.453813470040002	0.100277790093641	4.5255631343314	0.449808362792405	0.100031540774621	4.49666534484217
0.4	0.2	127	0.396605249458892	0.239862522160273	1.65346902003259	0.397502391107953	0.240799432840284	1.65076132621793
0.5	0.05	200	0.507851969630003	0.0467752382185908	10.8572823778406	0.507118445434681	0.0470116974670204	10.7870694477781
0.5	0.1	199	0.520601518018654	0.0946914156190619	5.49787448645824	0.52855440316704	0.0952907360291146	5.54675538454807
0.5	0.2	191	0.551093969543721	0.184556725730067	2.98604110667714	0.551240443309246	0.186161610574963	2.96108548699559
0.2	0.05	194	0.200344209854666	0.0504352391152154	3.97230613692532	0.19903753820957	0.0504294189823459	3.94685368632244
0.2	0.1	178	0.229805341222379	0.0903568237839349	2.54330920010978	0.231029874832304	0.0904847130526298	2.55324758225102
0.2	0.2	51	0.209526571149072	0.18288729970255	1.14565949352332	0.208950043322011	0.182102313287288	1.14743211961491
0.3	0.05	200	0.285209006880159	0.0494072669716216	5.77261249937133	0.283817627822238	0.0494723596746865	5.73689287692212
0.3	0.1	194	0.303526196929278	0.0889540521603329	3.41216829990156	0.301598214032108	0.0885784100350055	3.40487274396682
0.3	0.2	129	0.335738176824554	0.201288198248476	1.6679476479297	0.332426666877489	0.200175805634842	1.66067355554396
0.4	0.05	200	0.394517998312689	0.0485863243157034	8.11993917772411	0.396607980617328	0.0486420127130376	8.15360957526795
0.4	0.1	197	0.420595094977093	0.108985063835495	3.85919941848134	0.42044390166083	0.109083420518457	3.85433368024696
0.4	0.2	168	0.413639286131025	0.175514382295887	2.35672587465624	0.416146350328044	0.176694180528346	2.35517858643502
0.5	0.05	200	0.524989925966909	0.049809790899325	10.53989419526	0.527972831291401	0.0498354525077339	10.5943220082022
0.5	0.1	199	0.545351892728932	0.0904691685159937	6.02804139437317	0.542010144648323	0.0904072823129068	5.99520448775778
0.5	0.2	189	0.505439686575262	0.176918684472152	2.85690393913606	0.499561846142322	0.174616026159202	2.86091636106103
0.2	0.05	195	0.214906933298178	0.0481393717507298	4.46426543352053	0.215145464322511	0.048089252570737	4.47387831628372
0.2	0.1	158	0.200501859076913	0.101628878406843	1.97288272998802	0.200065711947362	0.101084821228514	1.97918648433963
0.2	0.2	11	0.167526637669983	0.17807799179367	0.940748690967312	0.165226966380811	0.175698008026943	0.940403185194182
0.3	0.05	199	0.267132925609305	0.0552950286790731	4.83104778116163	0.266071430383648	0.0551989672133308	4.82022479433983
0.3	0.1	176	0.271372161624057	0.10974428149873	2.47276812894526	0.270137529825802	0.109433376988197	2.46851131949385
0.3	0.2	100	0.29306671985162	0.20705214737368	1.41542468198943	0.295371178889643	0.20867969239879	1.41542847554703
0.4	0.05	199	0.368013146960395	0.0504411318637179	7.29589391361587	0.369027629493323	0.0505872868642924	7.29486897534736
0.4	0.1	197	0.427485694140452	0.093847572962541	4.55510654826504	0.424644731210097	0.0933299629923224	4.54992927882153
0.4	0.2	148	0.424141727397637	0.221227166553354	1.91722261784402	0.41789024018436	0.217293247186731	1.92316257221397
0.5	0.05	200	0.477686764738487	0.0478161390709415	9.99007393779278	0.482695070651505	0.0478282709936539	10.0922542384096
0.5	0.1	196	0.428792632921929	0.100313800314652	4.27451289430711	0.42893770872071	0.100650452448891	4.26165703466181
0.5	0.2	184	0.54408600224432	0.193644386051825	2.80971740693121	0.537089880567115	0.192205019466485	2.79435928394559
0.2	0.05	198	0.201049754438355	0.0459983973842113	4.37079911195697	0.199859342337477	0.0459465802026914	4.34981975711371
0.2	0.1	171	0.218362501937139	0.101180645326458	2.15814498150902	0.21893309601635	0.10131347392423	2.16094747851689
0.2	0.2	18	0.312935722163218	0.311082397285641	1.00595766553732	0.33019809547067	0.328471897616815	1.00525523756029
0.3	0.05	200	0.288005900975156	0.0537030463293064	5.36293414733137	0.285016652645922	0.0533499122799615	5.34240152355369
0.3	0.1	193	0.335061905002293	0.106322807437124	3.15136435049871	0.334908520013761	0.106563643099663	3.14280283849285
0.3	0.2	64	0.281725461560265	0.23282886330497	1.21001089624892	0.28043444531764	0.23193014315662	1.20913323943523
0.4	0.05	200	0.404649186750735	0.0470971720100937	8.59179372094807	0.402140946877236	0.047075549098111	8.54245897459693
0.4	0.1	197	0.357991690732565	0.10380244571155	3.44877895967273	0.361380418989656	0.104161926726373	3.46940989233983
0.4	0.2	152	0.377584069380529	0.196235043612936	1.92414189855556	0.374968470798075	0.194156606829732	1.93126814956603
0.5	0.05	200	0.498765683177495	0.0463950172013987	10.7504148777955	0.499052524240917	0.0462278426144007	10.7954967399983
0.5	0.1	200	0.543434694193496	0.0885954753794251	6.13388767164627	0.543848689674873	0.0889611997824484	6.11332458425511
0.5	0.2	190	0.549380208733485	0.18445454154112	2.97840434907921	0.553834067806133	0.18304771774221	3.02562673076377
0.2	0.05	199	0.195201329836289	0.0444492647765258	4.39155362451299	0.195488643603953	0.0444727593661032	4.3956940471059
0.2	0.1	158	0.196021041662848	0.0978565122385043	2.00314764116146	0.196475661298131	0.0983107909629776	1.99851572114928
0.2	0.2	11	0.16571186875304	0.175721009960517	0.943039587527267	0.167303459761003	0.177352846651018	0.943336760137885
0.3	0.05	200	0.293994626859748	0.0519605753768763	5.65803255116729	0.294916922735584	0.0520823683712668	5.66250982738117
0.3	0.1	183	0.354084708456887	0.1232141995461	2.87373297689126	0.355197779554412	0.123615433374258	2.87340965329964
0.3	0.2	32	0.268758062254699	0.249900752019606	1.07545919763224	0.267027995528324	0.248507428322396	1.074527217681
0.4	0.05	200	0.426402175565823	0.0496699939751387	8.58470358943972	0.428233454047439	0.0496974566168038	8.61680824733883
0.4	0.1	195	0.342145298612572	0.0945361468607393	3.61920080280598	0.342446928014437	0.0946291961372737	3.61882951555107
0.4	0.2	172	0.399964598823422	0.185202268678748	2.15960960779158	0.39676062898383	0.183744332274493	2.15930812163019
0.5	0.05	200	0.523752844942416	0.0484932747292912	10.8005253896796	0.522029492339692	0.0485831853443612	10.7450651627617
0.5	0.1	200	0.523396111114937	0.0993069013737699	5.2704908105529	0.526784866273233	0.0991885889460468	5.31094223509697
0.5	0.2	183	0.564249738290922	0.21093205851916	2.67503072909929	0.567093103404849	0.210871125228457	2.68928760535831
0.2	0.05	196	0.192965795566588	0.0458442636574085	4.20915901297074	0.192685036336734	0.0456676294450435	4.21929140352274
0.2	0.1	174	0.203112051173938	0.088366415630706	2.29852087723879	0.202965276273546	0.0884896732350722	2.29366059172092
0.2	0.2	48	0.220026185764041	0.193012486762176	1.13995829728442	0.221968921561748	0.195031116710825	1.1381205486859
0.3	0.05	200	0.329156084985105	0.0561744162800214	5.85953725525708	0.329757377566813	0.0559961172183279	5.88893291084978
0.3	0.1	189	0.333967008205467	0.0980142743841715	3.40733031289369	0.329344088083545	0.0970026342431867	3.39520767299861
0.3	0.2	70	0.281627644263349	0.232775235002595	1.20986944448884	0.27819217890635	0.230674439109296	1.205994821015
0.4	0.05	200	0.389236596020609	0.0519999884269372	7.48532082016724	0.393225637873726	0.0519254021834477	7.57289537179695
0.4	0.1	197	0.417584838550807	0.093517872761308	4.46529445357079	0.413975762271969	0.0935583087461747	4.4247888596949
0.4	0.2	168	0.399200406388272	0.181435537314024	2.20023272341265	0.401629565400965	0.182253688411444	2.20368415532021
0.5	0.05	200	0.556414122694178	0.0486092831805388	11.4466638116759	0.557003627708912	0.0487691875950029	11.4212201428179
0.5	0.1	199	0.509539324295382	0.103636944777451	4.91657994540035	0.512914887559051	0.103409952775794	4.96001471609909
0.5	0.2	183	0.518491174514835	0.205275748001607	2.52582771984723	0.512096484753412	0.203056221866071	2.52194431693491
0.2	0.05	193	0.205379756164597	0.0555368518884414	3.69808062900558	0.205371529436456	0.0554839755621391	3.70145663420334
0.2	0.1	17	0.11475076255999	0.11528417313305	0.995373080635756	0.114450789218101	0.115032496812737	0.994943102073298
0.2	0.2	17	0.215014867093963	0.215184023628635	0.999213898263361	0.211554745713091	0.21153302910684	1.0001026629569
0.3	0.05	200	0.276907499369675	0.0603378105306381	4.58928650102522	0.277637589318145	0.0605707955433333	4.58368735011113
0.3	0.1	194	0.322552210135594	0.0995054069713396	3.24155460444977	0.32702356649955	0.100502548170998	3.253883333815
